"WEEK_END_DATE","STORE_NUM","UPC","UNITS","VISITS","HHS","SPEND","PRICE","BASE_PRICE","FEATURE","DISPLAY","TPR_ONLY","STORE_NAME","ADDRESS_CITY_NAME","ADDRESS_STATE_PROV_CODE","MSA_CODE","SEG_VALUE_NAME","PARKING_SPACE_QTY","SALES_AREA_SIZE_NUM","AVG_WEEKLY_BASKETS","DESCRIPTION","MANUFACTURER","CATEGORY","SUB_CATEGORY","DISCOUNT_PRICE","DISCOUNT_PERCENT","DISCOUNT","PRODUct_SIZE_Milli","C4","Promo"
2009-02-18,21237,1600027527,376,285,278,612.88,1.63,3.14,"0","1","0","LEBANON","LEBANON","OH","17140","MAINSTREAM",NA,86517,38465.128205,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",1.51,48.0891719745223,"1",362.275375,4,1
2009-02-18,24991,1600027527,670,559,545,1092.1,1.63,3.19,"0","0","1","HYDE PARK","CINCINNATI","OH","17140","UPSCALE",1859,77730,50618.99359,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",1.56,48.9028213166144,"1",362.275375,4,1
2009-02-18,28909,1600027527,447,376,369,728.61,1.63,3.19,"0","1","0","MIDDLETOWN","MIDDLETOWN","OH","17140","MAINSTREAM",NA,85876,28986.108974,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",1.56,48.9028213166144,"1",362.275375,4,1
2009-02-25,2277,1600027527,472,369,363,759.92,1.61,3.19,"1","1","0","ANDERSON TOWNE CTR","CINCINNATI","OH","17140","UPSCALE",NA,81958,54052.519231,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",1.58,49.5297805642633,"1",362.275375,4,1
2009-02-25,21227,1600027527,563,424,417,928.95,1.65,3.19,"1","1","0","LIBERTY TWP","MIDDLETOWN","OH","17140","UPSCALE",NA,85710,34874.5,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",1.54,48.2758620689655,"1",362.275375,4,1
2009-02-25,21237,1600027527,488,363,352,795.44,1.63,3.14,"1","0","0","LEBANON","LEBANON","OH","17140","MAINSTREAM",NA,86517,38465.128205,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",1.51,48.0891719745223,"1",362.275375,4,1
2009-02-25,24991,1600027527,479,371,365,780.77,1.63,3.19,"1","1","0","HYDE PARK","CINCINNATI","OH","17140","UPSCALE",1859,77730,50618.99359,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",1.56,48.9028213166144,"1",362.275375,4,1
2009-02-25,28909,1600027527,650,511,500,1066,1.64,3.19,"1","1","0","MIDDLETOWN","MIDDLETOWN","OH","17140","MAINSTREAM",NA,85876,28986.108974,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",1.55,48.58934169279,"1",362.275375,4,1
2009-03-04,2277,1600027527,91,78,78,142.87,1.57,3.19,"0","1","0","ANDERSON TOWNE CTR","CINCINNATI","OH","17140","UPSCALE",NA,81958,54052.519231,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",1.62,50.7836990595611,"1",362.275375,4,1
2009-03-04,21227,1600027527,61,46,46,100.65,1.65,3.19,"0","0","1","LIBERTY TWP","MIDDLETOWN","OH","17140","UPSCALE",NA,85710,34874.5,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",1.54,48.2758620689655,"1",362.275375,4,1
2009-03-04,21237,1600027527,84,60,60,134.4,1.6,3.14,"0","1","0","LEBANON","LEBANON","OH","17140","MAINSTREAM",NA,86517,38465.128205,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",1.54,49.0445859872611,"1",362.275375,4,1
2009-03-04,24991,1600027527,118,96,96,192.34,1.63,3.19,"0","0","1","HYDE PARK","CINCINNATI","OH","17140","UPSCALE",1859,77730,50618.99359,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",1.56,48.9028213166144,"1",362.275375,4,1
2009-03-04,28909,1600027527,204,98,98,338.64,1.66,3.19,"0","0","1","MIDDLETOWN","MIDDLETOWN","OH","17140","MAINSTREAM",NA,85876,28986.108974,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",1.53,47.9623824451411,"1",362.275375,4,1
2009-03-11,2277,1600027527,133,121,121,383.04,2.88,2.88,"0","0","0","ANDERSON TOWNE CTR","CINCINNATI","OH","17140","UPSCALE",NA,81958,54052.519231,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-03-11,21227,1600027527,53,47,47,142.57,2.69,3.19,"0","0","1","LIBERTY TWP","MIDDLETOWN","OH","17140","UPSCALE",NA,85710,34874.5,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0.5,15.6739811912226,"1",362.275375,4,1
2009-03-11,21237,1600027527,77,70,70,227.15,2.95,2.95,"0","0","0","LEBANON","LEBANON","OH","17140","MAINSTREAM",NA,86517,38465.128205,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-03-11,24991,1600027527,120,112,112,366,3.05,3.05,"0","0","0","HYDE PARK","CINCINNATI","OH","17140","UPSCALE",1859,77730,50618.99359,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-03-11,28909,1600027527,72,63,62,213.84,2.97,2.97,"0","0","0","MIDDLETOWN","MIDDLETOWN","OH","17140","MAINSTREAM",NA,85876,28986.108974,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-03-18,2277,1600027527,108,101,101,341.28,3.16,3.16,"0","0","0","ANDERSON TOWNE CTR","CINCINNATI","OH","17140","UPSCALE",NA,81958,54052.519231,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-03-18,21227,1600027527,56,54,54,165.76,2.96,2.96,"0","0","0","LIBERTY TWP","MIDDLETOWN","OH","17140","UPSCALE",NA,85710,34874.5,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-03-18,21237,1600027527,54,51,51,156.06,2.89,2.89,"0","0","0","LEBANON","LEBANON","OH","17140","MAINSTREAM",NA,86517,38465.128205,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-03-18,24991,1600027527,118,111,107,363.44,3.08,3.08,"0","0","0","HYDE PARK","CINCINNATI","OH","17140","UPSCALE",1859,77730,50618.99359,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-03-18,28909,1600027527,51,48,48,146.88,2.88,2.88,"0","0","0","MIDDLETOWN","MIDDLETOWN","OH","17140","MAINSTREAM",NA,85876,28986.108974,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-03-25,2277,1600027527,107,104,103,321,3,3,"0","0","0","ANDERSON TOWNE CTR","CINCINNATI","OH","17140","UPSCALE",NA,81958,54052.519231,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-03-25,21227,1600027527,64,62,62,197.76,3.09,3.09,"0","0","0","LIBERTY TWP","MIDDLETOWN","OH","17140","UPSCALE",NA,85710,34874.5,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-03-25,21237,1600027527,72,66,66,213.12,2.96,2.96,"0","0","0","LEBANON","LEBANON","OH","17140","MAINSTREAM",NA,86517,38465.128205,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-03-25,24991,1600027527,100,97,96,303,3.03,3.03,"0","0","0","HYDE PARK","CINCINNATI","OH","17140","UPSCALE",1859,77730,50618.99359,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-03-25,28909,1600027527,53,50,49,157.41,2.97,2.97,"0","0","0","MIDDLETOWN","MIDDLETOWN","OH","17140","MAINSTREAM",NA,85876,28986.108974,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-04-01,2277,1600027527,107,105,105,328.49,3.07,3.07,"0","0","0","ANDERSON TOWNE CTR","CINCINNATI","OH","17140","UPSCALE",NA,81958,54052.519231,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-04-01,21227,1600027527,58,54,54,178.64,3.08,3.08,"0","0","0","LIBERTY TWP","MIDDLETOWN","OH","17140","UPSCALE",NA,85710,34874.5,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-04-01,21237,1600027527,57,55,55,172.14,3.02,3.02,"0","0","0","LEBANON","LEBANON","OH","17140","MAINSTREAM",NA,86517,38465.128205,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-04-01,24991,1600027527,106,107,106,315.88,2.98,2.98,"0","0","0","HYDE PARK","CINCINNATI","OH","17140","UPSCALE",1859,77730,50618.99359,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-04-01,28909,1600027527,51,44,44,158.1,3.1,3.1,"0","0","0","MIDDLETOWN","MIDDLETOWN","OH","17140","MAINSTREAM",NA,85876,28986.108974,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-04-08,2277,1600027527,129,124,124,389.58,3.02,3.02,"0","0","0","ANDERSON TOWNE CTR","CINCINNATI","OH","17140","UPSCALE",NA,81958,54052.519231,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-04-08,21227,1600027527,49,48,48,146.51,2.99,2.99,"0","0","0","LIBERTY TWP","MIDDLETOWN","OH","17140","UPSCALE",NA,85710,34874.5,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-04-08,21237,1600027527,54,52,52,165.78,3.07,3.07,"0","0","0","LEBANON","LEBANON","OH","17140","MAINSTREAM",NA,86517,38465.128205,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-04-08,24991,1600027527,117,111,109,367.38,3.14,3.14,"0","0","0","HYDE PARK","CINCINNATI","OH","17140","UPSCALE",1859,77730,50618.99359,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-04-08,28909,1600027527,62,61,61,188.48,3.04,3.04,"0","0","0","MIDDLETOWN","MIDDLETOWN","OH","17140","MAINSTREAM",NA,85876,28986.108974,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-04-15,2277,1600027527,113,106,105,353.69,3.13,3.13,"0","0","0","ANDERSON TOWNE CTR","CINCINNATI","OH","17140","UPSCALE",NA,81958,54052.519231,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-04-15,21227,1600027527,53,52,51,153.17,2.89,2.89,"0","0","0","LIBERTY TWP","MIDDLETOWN","OH","17140","UPSCALE",NA,85710,34874.5,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-04-15,21237,1600027527,84,81,81,261.24,3.11,3.11,"0","0","0","LEBANON","LEBANON","OH","17140","MAINSTREAM",NA,86517,38465.128205,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-04-15,24991,1600027527,103,97,95,325.48,3.16,3.16,"0","0","0","HYDE PARK","CINCINNATI","OH","17140","UPSCALE",1859,77730,50618.99359,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-04-15,28909,1600027527,62,56,55,197.78,3.19,3.19,"0","0","0","MIDDLETOWN","MIDDLETOWN","OH","17140","MAINSTREAM",NA,85876,28986.108974,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-04-22,2277,1600027527,125,120,118,380,3.04,3.04,"0","0","0","ANDERSON TOWNE CTR","CINCINNATI","OH","17140","UPSCALE",NA,81958,54052.519231,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-04-22,21227,1600027527,62,55,53,188.48,3.04,3.04,"0","0","0","LIBERTY TWP","MIDDLETOWN","OH","17140","UPSCALE",NA,85710,34874.5,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-04-22,21237,1600027527,61,60,59,178.73,2.93,2.93,"0","0","0","LEBANON","LEBANON","OH","17140","MAINSTREAM",NA,86517,38465.128205,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-04-22,24991,1600027527,100,97,96,306,3.06,3.06,"0","0","0","HYDE PARK","CINCINNATI","OH","17140","UPSCALE",1859,77730,50618.99359,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-04-22,28909,1600027527,41,39,39,127.51,3.11,3.11,"0","0","0","MIDDLETOWN","MIDDLETOWN","OH","17140","MAINSTREAM",NA,85876,28986.108974,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-04-29,2277,1600027527,106,104,102,334.96,3.16,3.16,"0","0","0","ANDERSON TOWNE CTR","CINCINNATI","OH","17140","UPSCALE",NA,81958,54052.519231,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-04-29,21227,1600027527,65,62,62,207.35,3.19,3.19,"0","0","0","LIBERTY TWP","MIDDLETOWN","OH","17140","UPSCALE",NA,85710,34874.5,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-04-29,21237,1600027527,65,64,64,207.35,3.19,3.19,"0","0","0","LEBANON","LEBANON","OH","17140","MAINSTREAM",NA,86517,38465.128205,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-04-29,24991,1600027527,88,84,83,280.72,3.19,3.19,"0","0","0","HYDE PARK","CINCINNATI","OH","17140","UPSCALE",1859,77730,50618.99359,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-04-29,28909,1600027527,69,67,66,220.11,3.19,3.19,"0","0","0","MIDDLETOWN","MIDDLETOWN","OH","17140","MAINSTREAM",NA,85876,28986.108974,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-05-06,2277,1600027527,351,250,247,702,2,3.16,"1","1","0","ANDERSON TOWNE CTR","CINCINNATI","OH","17140","UPSCALE",NA,81958,54052.519231,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",1.16,36.7088607594937,"1",362.275375,4,1
2009-05-06,21227,1600027527,179,125,122,358,2,3.19,"1","0","0","LIBERTY TWP","MIDDLETOWN","OH","17140","UPSCALE",NA,85710,34874.5,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",1.19,37.3040752351097,"1",362.275375,4,1
2009-05-06,21237,1600027527,216,150,144,434.16,2.01,3.19,"1","1","0","LEBANON","LEBANON","OH","17140","MAINSTREAM",NA,86517,38465.128205,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",1.18,36.9905956112853,"1",362.275375,4,1
2009-05-06,24991,1600027527,361,288,280,729.22,2.02,3.19,"1","1","0","HYDE PARK","CINCINNATI","OH","17140","UPSCALE",1859,77730,50618.99359,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",1.17,36.6771159874608,"1",362.275375,4,1
2009-05-06,28909,1600027527,231,175,173,464.31,2.01,3.19,"1","0","0","MIDDLETOWN","MIDDLETOWN","OH","17140","MAINSTREAM",NA,85876,28986.108974,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",1.18,36.9905956112853,"1",362.275375,4,1
2009-05-13,2277,1600027527,97,92,92,308.46,3.18,3.18,"0","0","0","ANDERSON TOWNE CTR","CINCINNATI","OH","17140","UPSCALE",NA,81958,54052.519231,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-05-13,21227,1600027527,54,54,54,172.26,3.19,3.19,"0","0","0","LIBERTY TWP","MIDDLETOWN","OH","17140","UPSCALE",NA,85710,34874.5,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-05-13,21237,1600027527,59,57,57,185.26,3.14,3.14,"0","0","0","LEBANON","LEBANON","OH","17140","MAINSTREAM",NA,86517,38465.128205,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
2009-05-13,24991,1600027527,112,107,104,356.16,3.18,3.18,"0","0","0","HYDE PARK","CINCINNATI","OH","17140","UPSCALE",1859,77730,50618.99359,"GM HONEY NUT CHEERIOS","GENERAL MI","COLD CEREAL","ALL FAMILY CEREAL",0,0,"0",362.275375,4,0
