"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@GerryAhern I semi-back this. Cherry Pepsi &gt; Cherry Coke. While Vanilla Pepsi &lt; Vanilla Coke. As far as the regulars go? I lika dem bofe!",FALSE,0,"GerryAhern",2017-09-18 14:44:00,FALSE,"909606473034027009","909790112988516353","932465546","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","williedinardo",0,FALSE,FALSE,NA,NA
"RT @tigers: #Blastellanos is batting .379 with 16 RBIs &amp; 4 homers in September, including this two-run shot for the @Aquafina Splash of the…",FALSE,0,NA,2017-09-18 14:43:48,FALSE,NA,"909790061583101952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nickscastellan",9,TRUE,FALSE,NA,NA
"@realDonaldTrump Too bad her pussy tastes like Pepsi and you're a Diet Coke man.",FALSE,0,"realDonaldTrump",2017-09-18 14:43:28,FALSE,"909385782275788800","909789978535788544","25073877","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","petraitis_john",0,FALSE,FALSE,NA,NA
"Correction: @tess_harris21 just dumped an entire cup of half fruit punch half pepsi on me https://t.co/CVtmIXTjLB",FALSE,0,NA,2017-09-18 14:42:59,FALSE,NA,"909789854850015232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","boggsjosie23",0,FALSE,FALSE,NA,NA
"RT @squidsplosion: @ylisseantactics ginger stud culture is feeling nothing but at the same time have a constant, underlying need to spit in…",FALSE,0,NA,2017-09-18 14:42:47,FALSE,NA,"909789806208700416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sandstormotn",12,TRUE,FALSE,NA,NA
"Great tips on turning around legacy, complacent cultures. #leadership https://t.co/wt2ewlCn81",FALSE,0,NA,2017-09-18 14:42:11,FALSE,NA,"909789653049294848",NA,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","RahejaRajesh",0,FALSE,FALSE,NA,NA
"RT @tigers: #Blastellanos is batting .379 with 16 RBIs &amp; 4 homers in September, including this two-run shot for the @Aquafina Splash of the…",FALSE,0,NA,2017-09-18 14:42:03,FALSE,NA,"909789622343016450",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kristinmoeg",9,TRUE,FALSE,NA,NA
"@pepsifur_ebooks i want a pepsi",FALSE,0,"pepsifur_ebooks",2017-09-18 14:41:56,FALSE,"909789570333474816","909789591284023296","3158511280","<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","yunogasai_ebook",0,FALSE,FALSE,NA,NA
"RT @TranslateRealDT: Just our President thanking a twitter user who posted this two days ago:

""my pussy taste like pepsi cola
my eyes are…",FALSE,0,NA,2017-09-18 14:41:28,FALSE,NA,"909789475030499328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","seattlelove90",215,TRUE,FALSE,NA,NA
"RT @TranslateRealDT: Just our President thanking a twitter user who posted this two days ago:

""my pussy taste like pepsi cola
my eyes are…",FALSE,0,NA,2017-09-18 14:41:24,FALSE,NA,"909789458513440769",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tropicalsoul",215,TRUE,FALSE,NA,NA
"RT @ot5memories: the 1d pepsi commercial https://t.co/Gj5QvE4DQB",FALSE,0,NA,2017-09-18 14:41:19,FALSE,NA,"909789436690468869",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","toplarriee",7738,TRUE,FALSE,NA,NA
"#Pawcircle surrounds @RustyNail1976 Family, @MrTibbsatAP Pepsi,Sylverster&amp;all kitties, @PepiSmartDog mum Michele, @AlfuscoPants @milkchacat",FALSE,1,NA,2017-09-18 14:41:10,FALSE,NA,"909789400288161793",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>","danapixie",0,FALSE,FALSE,NA,NA
"@DevaultBreanna you know you love me &amp; my pepsi hating self <ed><U+00A0><U+00BD><ed><U+00B8><U+009B>",FALSE,1,"DevaultBreanna",2017-09-18 14:40:12,FALSE,"909788834283638784","909789157718986752","2950992535","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","katelancarolyn",0,FALSE,FALSE,NA,NA
"This lady at work just got up and decided to make fun of Our Lord's Prayer. She was like ""Give us this day our daily bread and Pepsi""",FALSE,0,"DaluSaid",2017-09-18 14:40:11,FALSE,"909788826545082368","909789151016480769","906293248137801730","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DaluSaid",0,FALSE,FALSE,NA,NA
"RT @smolbeaniweeni: blessed callie calamari doll that gives you pepsi and is kind to you https://t.co/LX0edwslhJ",FALSE,0,NA,2017-09-18 14:39:55,FALSE,NA,"909789083014172672",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Blastotron",126,TRUE,FALSE,NA,NA
"RT @katelancarolyn: srry but pepsi is horrible",FALSE,0,NA,2017-09-18 14:39:50,FALSE,NA,"909789064127291393",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tripppppy_",2,TRUE,FALSE,NA,NA
"Driving pepsi now love in sharing @Oshiomah7 follow thing'z",FALSE,1,NA,2017-09-18 14:39:50,FALSE,NA,"909789063057694725",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","Oshiomah7",0,FALSE,FALSE,NA,NA
"RT @smolbeaniweeni: blessed callie calamari doll that gives you pepsi and is kind to you https://t.co/LX0edwslhJ",FALSE,0,NA,2017-09-18 14:39:18,FALSE,NA,"909788927564943360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LinkClass2021",126,TRUE,FALSE,NA,NA
"RT @GirlPosts: this is one of the best pepsi commercials of all time  https://t.co/H6PmeXXSuV",FALSE,0,NA,2017-09-18 14:39:17,FALSE,NA,"909788926528933888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MiniMinionBob",6879,TRUE,FALSE,NA,NA
"RT @KariCares4U: @RapSheet We Are #BoycottNFL ..You Disrespect The American Flag ..We Have No Need For You @NFL ..Or Sponsors @pepsi @PapaJ…",FALSE,0,NA,2017-09-18 14:38:55,FALSE,NA,"909788831670587392",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chendo721",11,TRUE,FALSE,NA,NA
"RT @TranslateRealDT: Just our President thanking a twitter user who posted this two days ago:

""my pussy taste like pepsi cola
my eyes are…",FALSE,0,NA,2017-09-18 14:38:54,FALSE,NA,"909788830160564225",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","5Jango5",215,TRUE,FALSE,NA,NA
"RT @lightning937: @KariCares4U @ImmoralReport @RapSheet @NFL @pepsi @PapaJohns @Gatorade I'm not watching or attending any NFL games for th…",FALSE,0,NA,2017-09-18 14:38:53,FALSE,NA,"909788822728314881",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chendo721",4,TRUE,FALSE,NA,NA
"EP Hamesha | Pepsi Battle of the bands Episode 8, Grand Finale 

EPIC !!  https://t.co/db7bSFMqYF",FALSE,0,NA,2017-09-18 14:38:38,FALSE,NA,"909788761524928513",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","faisalrafi",0,FALSE,FALSE,NA,NA
"RT @tigers: #Blastellanos is batting .379 with 16 RBIs &amp; 4 homers in September, including this two-run shot for the @Aquafina Splash of the…",FALSE,0,NA,2017-09-18 14:38:07,FALSE,NA,"909788632822710272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MichTempSupply",9,TRUE,FALSE,NA,NA
"RT @PepsiCo: We created #PwP2025 because it’s the right thing to do for our business &amp; the right thing to do for our world: https://t.co/US…",FALSE,0,NA,2017-09-18 14:37:20,FALSE,NA,"909788435262648320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KylePetricca",6,TRUE,FALSE,NA,NA
"@lucus @pepsi Thank you!",FALSE,0,"lucus",2017-09-18 14:36:52,FALSE,"909770111686447104","909788318287765505","14156147","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IAmJonnyApollo",0,FALSE,FALSE,NA,NA
"I just liked “Pepsi Homemade - SodaStream Caps (Directors Cut)” by @criswiegandt on #Vimeo: https://t.co/CvcRQx8Dod",FALSE,0,NA,2017-09-18 14:36:51,FALSE,NA,"909788311853649920",NA,"<a href=""https://vimeo.com"" rel=""nofollow"">Vimeo</a>","barry_el_blanco",0,FALSE,FALSE,NA,NA
"diet pepsi... my love. &lt;3",FALSE,0,NA,2017-09-18 14:36:50,FALSE,NA,"909788307533398017",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","shoushanyun",0,FALSE,FALSE,NA,NA
"RT @ot5memories: the 1d pepsi commercial https://t.co/Gj5QvE4DQB",FALSE,0,NA,2017-09-18 14:35:34,FALSE,NA,"909787988552556544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","stylesdeIuxed",7738,TRUE,FALSE,NA,NA
"Best Catch of the Match- Dwayne Bravo : Pepsi IPL 2013 - CSK vs KXIP, Match 45 https://t.co/si0IWKwsJt #firefan https://t.co/uyYisnKTv3",FALSE,0,NA,2017-09-18 14:35:06,FALSE,NA,"909787873905430528",NA,"<a href=""http://www.staged.com"" rel=""nofollow"">Staged Marketing Toolsuite</a>","OrioleBrother",0,FALSE,FALSE,NA,NA
"RT @smolbeaniweeni: blessed callie calamari doll that gives you pepsi and is kind to you https://t.co/LX0edwslhJ",FALSE,0,NA,2017-09-18 14:34:58,FALSE,NA,"909787839373692928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MirinaMoo",126,TRUE,FALSE,NA,NA
"@Conn1eWP @innesmck @JonCreter @James_Boss17 Are u telling at pepsi man?",FALSE,0,"Conn1eWP",2017-09-18 14:34:02,FALSE,"909745395302932485","909787602747744256","26703863","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","giri1478",0,FALSE,FALSE,NA,NA
"@tim_wwalker I heard she drinks clear Pepsi. Just saying.",FALSE,0,"tim_wwalker",2017-09-18 14:33:50,FALSE,"909748185215700993","909787554941214720","3438705869","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CPinyan",0,FALSE,FALSE,NA,NA
"@JordanCromble al pay you in diet pepsi",FALSE,1,"JordanCromble",2017-09-18 14:33:31,FALSE,"909787393305251841","909787473663979520","2994795377","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dunnie97_",0,FALSE,FALSE,NA,NA
"@Pepsi_Fan79 @chingusurtime2 @Imurray18 Don't be result oriented...process not outcome",FALSE,1,"Pepsi_Fan79",2017-09-18 14:33:09,FALSE,"909781519660732416","909787380177088513","1053346206","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","icecold_MILLER",0,FALSE,FALSE,NA,NA
"Gold Circle Seats for @pepsi #HANKFEST are ON SALE <ed><U+00A0><U+00BC><ed><U+00BE><U+00AB> Get your premium seat with the best views of the stage NOW <U+27A1><U+FE0F>… https://t.co/ZhJNiLKkkN",FALSE,1,NA,2017-09-18 14:32:28,TRUE,NA,"909787210815348736",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HANKFM",0,FALSE,FALSE,NA,NA
"RT @Drops: hey @pepsi that shit is not working https://t.co/9Yr11mZBkA",FALSE,0,NA,2017-09-18 14:32:27,FALSE,NA,"909787207568908289",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jesper_49",36746,TRUE,FALSE,NA,NA
"RT @pepsi: Their <ed><U+00A0><U+00BC><ed><U+00BF><U+0088>game is strong but how's their selfie game? #PepsiFootball players <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA> for the<ed><U+00A0><U+00BD><ed><U+00B3><U+00B7> in Ep 1 of #TheFunDoesntEndZone https://t.c…",FALSE,0,NA,2017-09-18 14:32:06,FALSE,NA,"909787117596819458",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","daddy_aliciaaa",73,TRUE,FALSE,NA,NA
"@iamLoafman Who from Pepsi wrote this shit and why did they forget to brand it?",FALSE,4,"iamLoafman",2017-09-18 14:31:48,FALSE,"909786240366628865","909787041998692352","2740925800","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GenghisKhatt",0,FALSE,FALSE,NA,NA
"Pepsi Swaps Aspartame for Sucralose: Is It Worth It? https://t.co/I8nH7F4d5D https://t.co/2jk3hMcUmb",FALSE,0,NA,2017-09-18 14:30:38,FALSE,NA,"909786748808556544",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","DrEddyClinic",0,FALSE,FALSE,NA,NA
"Coke and Pepsi are both 100 Naira but have different quantities. Which would you rather? #Brands #Business",FALSE,0,NA,2017-09-18 14:30:37,FALSE,NA,"909786745314709504",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","elvaridah",0,FALSE,FALSE,NA,NA
"My Love BROTHER!! that is epic winklevoss twins :((( sad face when your pizza rolls are going to africa dont be racisr pepsi",FALSE,0,NA,2017-09-18 14:30:26,FALSE,NA,"909786699953246208",NA,"<a href=""http://tommyspee.com"" rel=""nofollow"">tommys bot</a>","gaylord69bot",0,FALSE,FALSE,NA,NA
"mans on a mad ting just downed a can of pepsi with a fat fucking joint im smashed ofg me headddd",FALSE,0,NA,2017-09-18 14:30:19,FALSE,NA,"909786669338869761",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","patrickb0t",0,FALSE,FALSE,NA,NA
"Pepsi Swaps Aspartame for Sucralose: Is It Worth It? https://t.co/ei9wac3UYl",FALSE,0,NA,2017-09-18 14:30:10,FALSE,NA,"909786632684937216",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","DrEddyMD",0,FALSE,FALSE,NA,NA
"RT @k_s_rippin: Low key I liked Pepsi and thought that Lipscomb students were way to harsh about their hate for it",FALSE,0,NA,2017-09-18 14:29:59,FALSE,NA,"909786586040160256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","abigailfalk",1,TRUE,FALSE,NA,NA
"@jimmymarks Pepsi is always better than regular Coke. Doubly so with a lime wedge.",FALSE,0,"jimmymarks",2017-09-18 14:28:52,FALSE,"909782056787464192","909786305411866625","16244690","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","CortJstr",0,FALSE,FALSE,NA,NA
"Low key I liked Pepsi and thought that Lipscomb students were way to harsh about their hate for it",FALSE,1,NA,2017-09-18 14:28:13,FALSE,NA,"909786138839265280",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","k_s_rippin",1,FALSE,FALSE,NA,NA
"Everyday my professor opens a Diet Pepsi and it's only 7:30 am <ed><U+00A0><U+00BE><ed><U+00B4><U+00A2>",FALSE,0,NA,2017-09-18 14:27:01,FALSE,NA,"909785839357407232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jeaanineeee",0,FALSE,FALSE,NA,NA
"#RIP to my Diet Pepsi addiction https://t.co/5ZZH9TYDdy",FALSE,0,NA,2017-09-18 14:26:52,FALSE,NA,"909785799369031680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","abigailfalk",0,FALSE,FALSE,NA,NA
"RT @IHATETEF: They thought I was burnt up like Pepsi did Michael https://t.co/1bGCe4KYgo",FALSE,0,NA,2017-09-18 14:26:16,FALSE,NA,"909785651217698816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DMel33",1,TRUE,FALSE,NA,NA
"RT @coupIegoaIs: this is one of the best pepsi commercials of all time  https://t.co/PR3gRL9ATW",FALSE,0,NA,2017-09-18 14:26:15,FALSE,NA,"909785646687854595",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","emeryyanne",87,TRUE,FALSE,NA,NA
"RT @csualum1994: @mjtaylor @lustformimi @NatashaBertrand I don't know who she is either, but if she's anti-Trump, she's OK w/me. I assume t…",FALSE,0,NA,2017-09-18 14:25:18,FALSE,NA,"909785406895509506",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WoelfferDarlene",3,TRUE,FALSE,NA,NA
"RT @Drops: hey @pepsi that shit is not working https://t.co/9Yr11mZBkA",FALSE,0,NA,2017-09-18 14:25:07,FALSE,NA,"909785359814455297",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ChuGuevara_",36746,TRUE,FALSE,NA,NA
"Pepsi Fire promotion @ Nycs Fried Chicken &amp; Dinner https://t.co/9QiJEcrJg0",FALSE,0,NA,2017-09-18 14:23:56,FALSE,NA,"909785061813374976",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","cornmo",0,FALSE,FALSE,"-73.8734055","40.6894035"
"RT @GirlPosts: this is one of the best pepsi commercials of all time  https://t.co/H6PmeXXSuV",FALSE,0,NA,2017-09-18 14:23:45,FALSE,NA,"909785015013318657",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bobadun",6879,TRUE,FALSE,NA,NA
"srry but pepsi is horrible",FALSE,1,NA,2017-09-18 14:23:27,FALSE,NA,"909784940484669440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","katelancarolyn",2,FALSE,FALSE,NA,NA
"RT @pepsi: ""The All Star game is not necessarily about the votes, it's about getting buckets."" - #UncleDrew https://t.co/TgSMMbidbb",FALSE,0,NA,2017-09-18 14:23:07,FALSE,NA,"909784856476954625",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KyrieIrvingPriv",847,TRUE,FALSE,NA,NA
"RT @TheShawnUpdates: @ShawnMendes Shawn's 29th stop on the #IlluminateWorldTour is at the Pepsi Center (18,000 people) in Denver, CO on Jul…",FALSE,0,NA,2017-09-18 14:22:54,FALSE,NA,"909784802353729542",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bandzforlife123",62,TRUE,FALSE,NA,NA
"NowPlaying 24-Pride (feat. Monique Bingham) DJ Pepsi  - Unknown https://t.co/5r3bLJmKnv 15:22",FALSE,0,NA,2017-09-18 14:22:08,FALSE,NA,"909784609772195841",NA,"<a href=""https://radiotoolboxv3.listen2myradio.com/"" rel=""nofollow"">listen2myradio song tweet</a>","hevstation",0,FALSE,FALSE,NA,NA
"@Adam_Mares Ha, I'm most likely wrong. Hell, they traded down for Lyles &amp; Lydon. What I don't know about how this F… https://t.co/xytcVH76Am",FALSE,0,"Adam_Mares",2017-09-18 14:21:47,TRUE,"909783037595938816","909784521108742146","47469790","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NuggetsDenJoel",0,FALSE,FALSE,NA,NA
"If my team wins, I could score BIG…Grab specially-marked @fritolay or @pepsi for your chance! https://t.co/8G045fIXEW #TheyWinYouScore",FALSE,0,NA,2017-09-18 14:21:39,FALSE,NA,"909784486321184774",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","smrtcar",0,FALSE,FALSE,NA,NA
"dicks and vaginas are sorta like coke and pepsi; i strongly prefer one, but my dad thinks they taste the same",FALSE,0,NA,2017-09-18 14:21:27,FALSE,NA,"909784436035768321",NA,"<a href=""https://twitter.com/BoLyricsBot"" rel=""nofollow"">bo lyrics</a>","BoLyricsBot",0,FALSE,FALSE,NA,NA
"RT @PrestonMcMurry: @LandauDave The Olympia Restaurant: Cheeseburger, Chips and Pepsi https://t.co/WSVoimh1sn",FALSE,0,NA,2017-09-18 14:19:46,FALSE,NA,"909784013916733440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LandauDave",1,TRUE,FALSE,NA,NA
"RT @GirlPosts: this is one of the best pepsi commercials of all time  https://t.co/H6PmeXXSuV",FALSE,0,NA,2017-09-18 14:19:45,FALSE,NA,"909784010410389505",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","elsiqan_eltwila",6879,TRUE,FALSE,NA,NA
"RT @TOMLlNSCN: that time they deleted eleanor's picture in a coca cola shirt when modest! signed a contract with pepsi https://t.co/hUkBDKD…",FALSE,0,NA,2017-09-18 14:19:39,FALSE,NA,"909783985894690816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","idixtreject",127,TRUE,FALSE,NA,NA
"They thought I was burnt up like Pepsi did Michael https://t.co/1bGCe4KYgo",FALSE,0,NA,2017-09-18 14:19:23,FALSE,NA,"909783916185341953",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IHATETEF",1,FALSE,FALSE,NA,NA
"These new Pepsi cans are a lot like the hopes of Vikings fans: easy to crush and recycle! https://t.co/CIsf4V2qP1",FALSE,2,NA,2017-09-18 14:19:19,FALSE,NA,"909783901211566080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dropshotbob",0,FALSE,FALSE,NA,NA
"I just think it's ironic. He donates money, we name a building after him, then we switch the whole university to Pepsi products",FALSE,2,"ginagreninger",2017-09-18 14:19:04,FALSE,"909783595027505152","909783838968205313","522780009","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ginagreninger",0,FALSE,FALSE,NA,NA
"RT @maxmoefoe: When someone tells you Pepsi Max is still bad for you https://t.co/MDtxjH1Ish",FALSE,0,NA,2017-09-18 14:19:04,FALSE,NA,"909783837454077952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ShaneFadroski",687,TRUE,FALSE,NA,NA
"@gamespot I didn't.  I had to work, got home at 12:50am, foot itch kept me up an extra 30min. Woke up w/kids at 6:3… https://t.co/zhyvmGlUCT",FALSE,0,"gamespot",2017-09-18 14:19:03,TRUE,"909707337954336768","909783834245263361","7157132","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Sean_Ropp",0,FALSE,FALSE,NA,NA
"@OldSaltyMeat And she drinks pepsi wtf is this cancer",FALSE,1,"OldSaltyMeat",2017-09-18 14:19:01,FALSE,"909783631324839937","909783826225881089","757004200156942337","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PyrusBlaze",0,FALSE,FALSE,NA,NA
"RT @lisadalamest: I prefer:
<U+26AA><U+FE0F> Coke
<U+26AA><U+FE0F> Pepsi
<ed><U+00A0><U+00BD><ed><U+00B4><U+0098> Soda by Azealia Banks",FALSE,0,NA,2017-09-18 14:18:29,FALSE,NA,"909783689470627841",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","JoviDamon",509,TRUE,FALSE,NA,NA
"RT @TranslateRealDT: Just our President thanking a twitter user who posted this two days ago:

""my pussy taste like pepsi cola
my eyes are…",FALSE,0,NA,2017-09-18 14:17:58,FALSE,NA,"909783559916965888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","barefootdaze",215,TRUE,FALSE,NA,NA
